cost,iteration,time,run_id,seq
1125,0,0.00392324999847915,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 13, 22, 16, 15, 23, 17, 4, 3, 10, 8, 7, 12, 2, 14, 19, 20, 1, 9, 21, 18, 6, 5, 1, 11, 1]"
1070,1,0.0077197499995236285,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 6, 5, 9, 4, 18, 15, 17, 16, 3, 14, 10, 13, 21, 7, 23, 1, 20, 19, 8, 2, 12, 22, 1, 11, 1]"
1036,2,0.011529167000844609,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 13, 7, 2, 18, 12, 21, 3, 4, 23, 20, 19, 6, 5, 10, 1, 15, 16, 17, 22, 14, 9, 8, 1, 11, 1]"
984,4,0.019214624997403007,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 10, 14, 22, 16, 18, 17, 3, 9, 5, 8, 6, 7, 4, 2, 15, 23, 19, 1, 11, 12, 1, 13, 20, 21, 1]"
978,5,0.02307637500052806,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 4, 3, 2, 7, 9, 5, 6, 12, 14, 10, 19, 23, 15, 21, 18, 1, 13, 8, 20, 16, 17, 22, 1, 11, 1]"
949,6,0.026874666997173335,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 20, 13, 15, 18, 16, 17, 12, 22, 7, 3, 2, 4, 9, 5, 6, 19, 23, 21, 1, 14, 11, 1, 8, 10, 1]"
904,7,0.0306540839956142,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 19, 23, 18, 16, 21, 15, 17, 4, 2, 3, 5, 9, 6, 12, 10, 14, 1, 20, 22, 13, 8, 7, 1, 11, 1]"
858,9,0.03818262500135461,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 19, 12, 7, 3, 4, 18, 16, 15, 13, 8, 22, 10, 9, 6, 5, 1, 11, 14, 2, 1, 20, 23, 21, 17, 1]"
769,19,0.0758029999997234,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 13, 15, 17, 16, 18, 23, 21, 19, 20, 5, 6, 22, 9, 12, 7, 3, 4, 2, 1, 8, 10, 14, 1, 11, 1]"
752,35,0.13599124999745982,c1ba7156-9b09-454c-9f93-d181e82a177a,"[1, 21, 23, 20, 19, 13, 10, 14, 2, 4, 3, 15, 17, 16, 18, 7, 1, 12, 8, 9, 5, 6, 22, 1, 11, 1]"
